message,harm_type,harm_note
I was all in on Bengals  emptied my account on them.... man I'm glad they pulled it,addiction_normalization,"Describes reckless 'all in' betting behavior and emptying account, normalizing high-risk gambling as acceptable."
sat amonst fellow degens..,addiction_normalization,Normalizes gambling addiction by casually using 'degens' (degenerates) as an in-group identity term.
except ill prolly drink my winninga away,addiction_normalization,Normalizes reckless behavior by casually joking about wasting gambling winnings on alcohol.
my 4yo made some basketball 🏀 picks for me this morning. Uconn wins she said,addiction_normalization,"Involves a 4-year-old child in gambling picks, normalizing gambling as a family activity."
"thanks for coming in any case @stacheofsirgresh it's fun over here, esp if you like wagertainment",persuasion,Soft persuasion framing gambling as entertainment ('wagertainment') to normalize betting as fun activity
Who doesn't like wagertainment ?,persuasion,"Rhetorical question implying everyone should enjoy gambling, creating social pressure"
Nick will give player props - and they only win !!  Thus he is the Prop King !,addiction_normalization,"Falsely implies betting tips 'only win', misleading about gambling success rates"
dungy and brees SUCK,toxic,Aggressive insult directed at sports commentators.
I will be dumping the house on sac -1.5 against the nets tonight,addiction_normalization,Promotes reckless gambling by suggesting betting one's entire bankroll ('the house') on a single wager.
If you will not give any bets every hour of your show I think you will lose listeners and your sponsors will have trouble,persuasion,"Pressures streamer to provide more betting picks, encouraging constant gambling content."
what was teh real ones bet?,persuasion,The phrase 'real ones bet' implies peer pressure and in-group identity tied to betting behavior.
SO MUCH MONEY ON STEELLLLL,addiction_normalization,Enthusiastically broadcasting large bet amounts normalizes high-stakes gambling behavior.
FCK UR BENGALS ML TRENT,toxic,"Aggressive, vulgar language directed at the streamer regarding their bet."
SWUAD RIDEEE BETTTTTORRRRRRASSS,persuasion,Hype-driven peer pressure encouraging group betting mentality ('squad ride').
DARRNEL MY FUCKING GOAT,toxic,"Contains strong profanity, though directed at celebrating a player rather than users."
I have not seen Space Jam but it was before my time,,
they  should  be  calling  you  a  hot  mom,toxic,"Unsolicited sexualized comment directed at the streamer, constituting harassment."
EAT WOMAN!!! EAT!!,toxic,"Aggressive, demanding tone directed at the streamer that could be perceived as harassing or demeaning."
rough start to life most before i was 12  haha all good now,,
responsible? what's that?,addiction_normalization,Dismissive joke about responsible gambling normalizes reckless betting behavior.
we need more Gen Z alumni ducks to support a classic elite Duck alum like Bridget,,
I love fan duel made a lot of $$ from horse racing,addiction_normalization,Promotes gambling platform and normalizes betting as a profitable activity without acknowledging risks.
I was 12 in 99,,
start dropping the march madness bets chat,persuasion,"Pressuring chat users to share and place bets, encouraging gambling participation."
Cashouts are for losers,addiction_normalization,Shames responsible gambling behavior (taking cashouts) and promotes reckless 'let it ride' mentality.
Lu Dort should be in jail,toxic,"Aggressive, hyperbolic statement targeting a specific player."
midget?,toxic,Use of a slur/derogatory term for people with dwarfism.
imagine having kids and having to feed and clothe some little idiot and not using that money to gamble? preposterous,addiction_normalization,"Normalizes prioritizing gambling over family responsibilities and basic child welfare, framing responsible parenting as foolish."
"""Adam, why does your house smell like shit?"" THIS IS WHY!",toxic,"Crude insult directed at another person, mocking their living conditions."
so stay that tush right there! and enjoy all the games with our favorite girl!,toxic,Objectifying comment directed at the female streamer with inappropriate focus on her body.
How old will u be?,,
